204117,0425137023,???
190708,0821758160,???
251327,0380769557,???
6712,3423130148,???
131402,0099286432,???
175003,0425155404,???
173415,047128369X,???
32773,0441854419,???
131675,9025406106,???
167800,0451455207,???
129373,0345351525,???
234828,0373272669,???
26544,037311298X,???
74822,0671001809,???
94853,0790009315,???
75488,1569470901,???
235105,0446600547,???
207165,2264010983,???
195896,0471580163,???
218568,0330489461,???
109013,0671027573,???
43687,0425192911,???
204359,0671003755,???
22826,0738831743,???
235569,0060392452,???
167644,0425147622,???
135458,0446360074,???
140491,0752825895,???
196738,0345367650,???
120548,8472141152,???
8734,0553081209,???
16795,067169507X,???
212898,0747508011,???
123981,038073320X,???
212385,042513329X,???
58693,0312863233,???
224333,055329881X,???
265115,0830819185,???
160407,3548256740,???
201360,0380792648,???
257368,1887656006,???
266226,0740743708,???
120925,0886776104,???
177284,0618526412,???
6251,0394578074,???
269566,0689716087,???
128835,0812589823,???
211426,0385314256,???
181176,0060916508,???
177556,3453144422,???
72470,0345304616,???
238961,0816716978,???
162639,0425194345,???
198711,0061065846,???
56856,0812578619,???
50993,3442436192,???
227447,0849939593,???
21364,0679755756,???
105937,0553279556,???
174216,0684859017,???
69405,0224617443,???
164533,0060976446,???
242849,0671034022,???
222341,1857992911,???
7584,0099421267,???
173694,8401429412,???
8284,0671000527,???
225810,0446613681,???
142524,0140231897,???
274773,0345313097,???
226553,0312980140,???
133567,3506360205,???
237271,0385511612,???
205735,1558746226,???
226545,0505524899,???
245410,0140268316,???
245295,0156012197,???
245827,0451184963,???
270091,1556619340,???
231210,0440408032,???
147224,0316602051,???
102989,0006512135,???
70740,1857822013,???
8584,0451155580,???
234954,0151004218,???
264339,8839709878,???
238781,0373870558,???
136371,0836237323,???
191716,00670896764,???
115973,0786867647,???
174625,0393319296,???
208641,0679408363,???
11676,8501043222,???
198711,043918472X,???
232131,044023512X,???
131837,0425172996,???
51883,0373764944,???
141210,3596282225,???
119671,0375713751,???
149510,2070382753,???
220473,0679753796,???
95043,0425124347,???
200674,055357289X,???
198711,0590424955,???
204864,0449213730,???
249695,0385472943,???
83496,0763617407,???
270820,0316666343,???
76482,0312305036,???
39281,0671210742,???
257204,081257558X,???
28204,0399138773,???
28360,0679865683,???
98741,0786890371,???
